model,feature,lag,ik,da,dh,dh_rel
TACR,rsi,14,2.525613638226787e-07,0.00040406122570857406,0.008863161318004131,0.004229024175676974
TACR,rsi,15,2.6832395860765246e-07,0.00041619723197072744,0.00910224486142397,0.0043431019915771705
TACR,rsi,16,2.732101336277992e-07,0.00041651949868537486,0.009264924563467503,0.004420724001168321
TACR,rsi,17,2.901516040765273e-07,0.00042706853128038347,0.009609552100300789,0.004585161737612474
TACR,rsi,18,3.3086533335335844e-07,0.00045844659325666726,0.010613872669637203,0.005064369529895983
TACR,rsi,19,4.2274595557501016e-07,0.0005097786197438836,0.012083159759640694,0.005765434353348172
TACR,rsi,20,1.6071051049948437e-06,0.0009358363458886743,0.023920131847262383,0.011413401182483835
TACR,macd,1,0.0008478228119201958,0.021232780069112778,0.8297885060310364,0.3959304729764703
TACR,macd,2,1.7159216270101751e-07,0.00026936616632156074,0.00576021010056138,0.002748462641966032
TACR,macd,3,2.3209497612697305e-07,0.00032497415668331087,0.0062543367967009544,0.0029842333414766913
TACR,macd,4,2.81446460803636e-07,0.0003538544988259673,0.006759170908480883,0.0032251130441948287
TACR,macd,5,3.1499521924160945e-07,0.00037416353006847203,0.006957019213587046,0.003319515620813968
TACR,macd,6,3.161427173381526e-07,0.0003799672413151711,0.007138581480830908,0.0034061473755587776
TACR,macd,7,3.3470794846834906e-07,0.000384608720196411,0.007504522800445557,0.003580754903505474
TACR,macd,8,2.9845213589396735e-07,0.00036643221392296255,0.007647518999874592,0.0036489850036602453
TACR,macd,9,2.880704812469048e-07,0.00036456191446632147,0.00781359151005745,0.00372822587892808
TACR,macd,10,2.642706817823637e-07,0.0003532675909809768,0.007952814921736717,0.003794655807560411
TACR,macd,11,3.1226130658978946e-07,0.00035270830267108977,0.008222565986216068,0.003923366516095124
TACR,macd,12,2.954480180505925e-07,0.00034055442665703595,0.008167816326022148,0.003897242921108778
TACR,macd,13,2.921561872426537e-07,0.00034285837318748236,0.00836257729679346,0.003990172387731155
TACR,macd,14,3.003807762524957e-07,0.0003377661050762981,0.008574092760682106,0.004091096197895544
TACR,macd,15,2.5564065708749695e-07,0.0003185039386153221,0.008605927228927612,0.004106285895002443
TACR,macd,16,2.467058948241174e-07,0.00031477853190153837,0.008955598808825016,0.004273130377673586
